ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
6C93C2F8394AAA5F,classic_bike,2022-02-13 21:39:39,2022-02-13 21:42:15,High St & 2nd Ave,24,High St & Warren,23,39.982784,-83.004787,39.977479,-83.0035065,member
729B820780310E18,classic_bike,2022-02-07 05:06:53,2022-02-07 05:10:16,High St & Warren,23,High St & Warren,23,39.977479,-83.0035065,39.977479,-83.0035065,casual
1D7259FD6B124141,classic_bike,2022-02-20 20:11:26,2022-02-20 20:17:23,Thompson Park at Hunter Ave,95,High St & Warren,23,39.9869065,-83.009456,39.977479,-83.0035065,casual
12ABA55C2597023A,electric_bike,2022-02-18 22:50:36,2022-02-18 22:58:56,Thompson Park at Hunter Ave,95,High St & Warren,23,39.98686216666667,-83.00952833333334,39.977479,-83.0035065,casual
8E3B34B26E98E32F,electric_bike,2022-02-24 19:49:50,2022-02-24 19:50:46,Neiland and Nationwide,96,Neiland and Nationwide,96,39.967425666666664,-83.01918383333333,39.967324,-83.0191557,member
01C704EB51A8719F,classic_bike,2022-02-19 09:00:21,2022-02-19 09:05:42,GO FITNESS IV (Italian Village) 4th/1st,47,High St & Warren,23,39.980568,-82.998027,39.977479,-83.0035065,member
F08BAF40366058BE,classic_bike,2022-02-26 16:24:57,2022-02-26 16:31:23,Nationwide Arena - Front St,11,Neiland and Nationwide,96,39.969172,-83.0040165,39.967324,-83.0191557,casual
17460AD66A210699,docked_bike,2022-02-03 17:40:55,2022-02-03 17:41:02,High St & Warren,23,High St & Warren,23,39.977479,-83.003507,39.977479,-83.003507,casual
8478628526089F77,electric_bike,2022-02-26 17:55:46,2022-02-26 17:56:22,Neiland and Nationwide,96,Neiland and Nationwide,96,39.96738883333333,-83.01915366666667,39.967324,-83.0191557,member
45ED48852B5B077C,electric_bike,2022-02-26 12:20:39,2022-02-26 12:20:51,Neiland and Nationwide,96,Neiland and Nationwide,96,39.96743683333333,-83.019172,39.967324,-83.0191557,member
740EF8A398D69EDF,electric_bike,2022-02-21 18:41:58,2022-02-21 18:52:51,High St & Warren,23,High St & Warren,23,39.97748833333333,-83.00346633333334,39.977479,-83.0035065,member
4AC516427EB4BF07,electric_bike,2022-02-11 22:00:14,2022-02-11 22:21:11,,,High St & Warren,23,39.96,-83.0,39.977479,-83.0035065,casual
8BA1F007566008A7,docked_bike,2022-02-20 21:02:52,2022-02-20 21:19:20,Nationwide Arena - Front St,11,High St & Warren,23,39.969172,-83.004017,39.977479,-83.003507,casual
8C30315D2DF3068F,classic_bike,2022-02-27 13:24:56,2022-02-27 13:32:58,Front St & Beck St,3,Columbus Commons - Rich St,9,39.950149,-83.0002435,39.957608,-82.998107,member
89045613E0DB09DA,classic_bike,2022-02-20 21:02:03,2022-02-20 21:19:22,Nationwide Arena - Front St,11,High St & Warren,23,39.969172,-83.0040165,39.977479,-83.0035065,casual
A2B75475D648D27F,classic_bike,2022-02-12 12:17:23,2022-02-12 12:56:09,Columbus College of Art & Design,26,High St & Hudson St,86,39.9651575,-82.990458,40.014607,-83.0110875,casual
BB97C7EEEE008AD9,electric_bike,2022-02-28 17:44:46,2022-02-28 17:55:38,Livingston Park,14,Columbus Commons - Rich St,9,39.951369,-82.97916266666667,39.957608,-82.998107,member
4603EA7CE251A4E3,electric_bike,2022-02-21 18:13:08,2022-02-21 18:16:19,Schiller Park - Stewart Ave,6,Thurman Ave & Bruck St,61,39.94205566666667,-82.99500516666667,39.9396375,-82.987683,casual
7EC4D9BEB573F845,electric_bike,2022-02-20 21:13:26,2022-02-20 21:17:10,Schiller Park - Stewart Ave,6,Front St & Beck St,3,39.942080833333335,-82.99507866666667,39.950149,-83.0002435,member
5213D453D1272C79,electric_bike,2022-02-23 17:54:39,2022-02-23 17:59:41,Schiller Park - Stewart Ave,6,Front St & Beck St,3,39.94205383333333,-82.99504216666666,39.950149,-83.0002435,member
917AA1A25B2A205B,electric_bike,2022-02-28 13:23:46,2022-02-28 13:28:32,Schiller Park - Stewart Ave,6,Front St & Beck St,3,39.94191983333333,-82.99500433333333,39.950149,-83.0002435,member
A6E0670AF6366252,electric_bike,2022-02-09 14:36:20,2022-02-09 14:42:42,Schiller Park - Stewart Ave,6,Front St & Beck St,3,39.942032166666664,-82.99500516666667,39.950149,-83.0002435,member
8915914847623C56,electric_bike,2022-02-24 21:55:11,2022-02-24 21:58:31,Schiller Park - Stewart Ave,6,Front St & Beck St,3,39.9420315,-82.99512083333333,39.950149,-83.0002435,member
00BA51E7913168FD,electric_bike,2022-02-18 19:48:44,2022-02-18 19:53:12,Schiller Park - Stewart Ave,6,Front St & Beck St,3,39.941966666666666,-82.9949865,39.950149,-83.0002435,member
F87FF817727F3BBB,electric_bike,2022-02-16 20:57:04,2022-02-16 21:01:27,Schiller Park - Stewart Ave,6,Front St & Beck St,3,39.942093666666665,-82.99506383333333,39.950149,-83.0002435,member
65ABF71D2436F341,electric_bike,2022-02-28 21:44:10,2022-02-28 21:47:49,Schiller Park - Stewart Ave,6,Front St & Beck St,3,39.94197,-82.9950955,39.950149,-83.0002435,member
585CD33A3D6EDD7D,electric_bike,2022-02-21 19:41:45,2022-02-21 19:45:20,Schiller Park - Stewart Ave,6,Front St & Beck St,3,39.9420335,-82.99510583333333,39.950149,-83.0002435,member
8596413D38B4F53B,electric_bike,2022-02-16 11:45:14,2022-02-16 12:01:11,Schiller Park - Stewart Ave,6,Front St & Beck St,3,39.942048666666665,-82.9950585,39.950149,-83.0002435,member
445E4BEDE9A613CA,classic_bike,2022-02-26 13:24:47,2022-02-26 13:32:53,Schiller Park - Stewart Ave,6,Front St & Beck St,3,39.941996,-82.9950175,39.950149,-83.0002435,member
